"U","V","T","tstamp","SID","SCODE","SFNAME","STYPE","Poll_Value"
-2.094198,57.133888,1,2020-02-01,1,"ABD8","Aberdeen Wellington Road","Urban Traffic",17.5891183333333
-3.034178,52.50385,1,2020-02-01,2,"AH","Aston Hill","Rural Background",0.933735833333333
-6.250873,54.861595,1,2020-02-01,3,"BALM","Ballymena Ballykeel","Urban Background",11.9633266666667
-1.510436,53.56292,1,2020-02-01,4,"BAR3","Barnsley Gawber","Urban Background",5.01171217391304
-5.974944,54.572586,1,2020-02-01,5,"BEL1","Belfast Stockman's Lane","Urban Traffic",35.3462065217391
-1.275039,54.60537,1,2020-02-01,6,"BIL","Billingham","Urban Industrial",4.97164208333333
-3.007175,53.80489,1,2020-02-01,7,"BLC2","Blackpool Marton","Urban Background",9.45690708333333
-1.918235,52.481346,1,2020-02-01,8,"BMLD","Birmingham Ladywood","Urban Background",5.92482875
-2.003497,52.502436,1,2020-02-01,9,"BOLD","Oldbury Birmingham Road","Urban Traffic",15.2806982608696
-1.826744,50.73957,1,2020-02-01,10,"BORN","Bournemouth","Urban Background",6.89068791666667
-1.635718,52.82105,1,2020-02-01,11,"BOTR","Burton-on-Trent Horninglow","Urban Background",7.39860416666667
-2.583975,51.457968,1,2020-02-01,12,"BR11","Bristol Temple Way","Urban Traffic",15.7474454166667
-2.584482,51.462839,1,2020-02-01,13,"BRS8","Bristol St Paul's","Urban Background",10.5709682608696
-0.147572,50.840836,1,2020-02-01,14,"BRT3","Brighton Preston Park","Urban Background",7.62432291666667
-3.205782,55.862281,1,2020-02-01,15,"BUSH","Bush Estate","Rural Background",2.05183739130435
-3.133508,51.680579,1,2020-02-01,16,"CAE6","Hafod-yr-ynys Roadside","Urban Traffic",30.07884
-2.945307,54.894834,1,2020-02-01,17,"CARL","Carlisle Roadside","Urban Traffic",13.4890991666667
0.54797,51.374264,1,2020-02-01,18,"CHAT","Chatham Roadside","Urban Traffic",14.3219558333333
-2.678731,51.638094,1,2020-02-01,19,"CHP","Chepstow A48","Urban Traffic",31.2014104166667
-3.152305,51.49096,1,2020-02-01,20,"CNPR","Cardiff Newport Road","Urban Traffic",8.37808541666667
-1.490082,52.407708,1,2020-02-01,21,"COBR","Coventry Binley Road","Urban Traffic",17.7223916666667
-2.093844,53.579227,1,2020-02-01,22,"CW","Shaw Crompton Way","Urban Traffic",16.8671541666667
-2.959861,56.475434,1,2020-02-01,25,"DCC1","Dundee Mains Loan","Urban Background",8.9942625
-7.331179,55.002818,1,2020-02-01,26,"DERR","Derry Rosemount","Urban Background",7.59417416666667
-4.55973,55.943197,1,2020-02-01,27,"DUMB","Dumbarton Roadside","Urban Traffic",12.38281875
-1.358547,54.516667,1,2020-02-01,28,"EAGL","Stockton-on-Tees Eaglescliffe","Urban Traffic",1.52286083333333
-2.334139,53.48481,1,2020-02-01,29,"ECCL","Salford Eccles","Urban Background",12.6665408333333
-3.532465,50.725083,1,2020-02-01,30,"EX","Exeter Roadside","Urban Traffic",17.6372125
-4.238214,55.860936,1,2020-02-01,31,"GHSR","Glasgow High Street","Urban Traffic",30.5169995833333
-4.259122,55.85894,1,2020-02-01,32,"GLA4","Glasgow Kerbside","Urban Traffic",39.16507375
-4.243631,55.865782,1,2020-02-01,33,"GLKP","Glasgow Townhead","Urban Background",19.8620229166667
-0.125254,51.584128,1,2020-02-01,34,"HG4","London Haringey Priory Park South","Urban Background",8.82381583333333
-0.460861,51.49633,1,2020-02-01,35,"HIL","London Hillingdon","Urban Background",23.3433804347826
0.439548,51.518167,1,2020-02-01,36,"HOPE","Stanford-le-Hope Roadside","Urban Traffic",10.2908195833333
-0.167734,51.165865,1,2020-02-01,37,"HORE","Horley","Suburban Industrial",9.18035291666667
-0.131931,51.49467,1,2020-02-01,38,"HORS","London Westminster","Urban Background",14.97628375
-0.341222,53.74878,1,2020-02-01,39,"HUL2","Hull Freetown","Urban Background",15.8719008333333
-0.305678,53.759013,1,2020-02-01,40,"HULR","Hull Holderness Road","Urban Traffic",13.3068095833333
