"U","V","T","tstamp","SID","SCODE","SFNAME","STYPE","Poll_Value"
-3.2429,55.79216,1,2020-02-01,1,"ACTH","Auchencorth Moss","Rural Background",69.15377875
-1.874978,52.476145,1,2020-02-01,2,"BIRR","Birmingham A4540 Roadside","Urban Traffic",63.2248858333333
-3.205782,55.862281,1,2020-02-01,3,"BUSH","Bush Estate","Rural Background",69.6804216666667
-1.560189,52.411628,1,2020-02-01,4,"COAL","Coventry Allesley","Urban Background",70.2548779166667
-3.182186,55.945589,1,2020-02-01,7,"ED3","Edinburgh St Leonards","Urban Background",62.3545391666667
-5.101102,56.82266,1,2020-02-01,8,"FW","Fort William","Suburban Background",65.4947270833333
-4.243631,55.865782,1,2020-02-01,9,"GLKP","Glasgow Townhead","Urban Background",57.1844279166667
-0.460861,51.49633,1,2020-02-01,10,"HIL","London Hillingdon","Urban Background",50.9755833333333
-0.341222,53.74878,1,2020-02-01,11,"HUL2","Hull Freetown","Urban Background",61.5417066666667
-1.127182,52.619904,1,2020-02-01,12,"LECU","Leicester University","Urban Background",63.95133125
-2.73684,52.221593,1,2020-02-01,13,"LEOM","Leominster","Suburban Background",76.5309379166667
-7.900328,54.43951,1,2020-02-01,14,"LN","Lough Navar","Rural Background",57.3140108333333
-2.238917,53.371722,1,2020-02-01,15,"MAHG","Manchester Sharston","Suburban Industrial",59.54046375
-2.237881,53.48152,1,2020-02-01,16,"MAN3","Manchester Piccadilly","Urban Background",45.0245170833333
-9.903917,53.326444,1,2020-02-01,17,"MH","Mace Head","Rural Background",86.42462
-1.610528,54.97825,1,2020-02-01,18,"NEWC","Newcastle Centre","Urban Background",66.9245541666667
1.302686,52.614823,1,2020-02-01,19,"NO12","Norwich Lakenfields","Urban Background",69.1877325
-1.146447,52.95473,1,2020-02-01,20,"NOTT","Nottingham Centre","Urban Background",63.1341091666667
-0.916605,52.272257,1,2020-02-01,21,"NTN4","Northampton Spring Park","Urban Background",74.20331375
1.04901,51.777874,1,2020-02-01,22,"OSY","St Osyth","Rural Background",68.3610416666667
-3.196527,55.657472,1,2020-02-01,23,"PEEB","Peebles","Urban Background",65.4402516666667
-4.142361,50.37167,1,2020-02-01,24,"PLYM","Plymouth Centre","Urban Background",66.6051033333333
0.678331,51.544166,1,2020-02-01,25,"SEND","Southend-on-Sea","Urban Background",60.2763779166667
1.463497,52.2944,1,2020-02-01,26,"SIB","Sibton","Rural Background",69.5411375
