"U","V","T","tstamp","SID","SCODE","SFNAME","STYPE","Poll_Value"
-2.094278,57.15736,1,2020-02-01,1,"ABD","Aberdeen","Urban Background",4.24520833333333
-3.2429,55.79216,1,2020-02-01,2,"ACTH","Auchencorth Moss","Rural Background",1.80125
-5.928833,54.59965,1,2020-02-01,3,"BEL2","Belfast Centre","Urban Background",9.285625
-1.874978,52.476145,1,2020-02-01,4,"BIRR","Birmingham A4540 Roadside","Urban Traffic",7.218
-3.007175,53.80489,1,2020-02-01,5,"BLC2","Blackpool Marton","Urban Background",14.9214583333333
-1.918235,52.481346,1,2020-02-01,6,"BMLD","Birmingham Ladywood","Urban Background",6.54975
-1.454946,53.244131,1,2020-02-01,7,"CHLG","Chesterfield Loundsley Green","Urban Background",6.50554166666667
-1.456928,53.231751,1,2020-02-01,8,"CHS7","Chesterfield Roadside","Urban Traffic",6.857375
-1.560189,52.411628,1,2020-02-01,9,"COAL","Coventry Allesley","Urban Background",7.01066666666667
-2.334139,53.48481,1,2020-02-01,10,"ECCL","Salford Eccles","Urban Background",8.67429166666667
-3.182186,55.945589,1,2020-02-01,11,"ED3","Edinburgh St Leonards","Urban Background",3.398125
-4.238214,55.860936,1,2020-02-01,12,"GHSR","Glasgow High Street","Urban Traffic",4.8065
-4.734421,55.944079,1,2020-02-01,13,"GKA8","Greenock A8 Roadside","Urban Traffic",3.407125
-4.243631,55.865782,1,2020-02-01,14,"GLKP","Glasgow Townhead","Urban Background",4.494875
-0.037418,51.449674,1,2020-02-01,15,"HP1","London Honor Oak Park","Urban Background",6.48591666666667
-0.213492,51.52105,1,2020-02-01,16,"KC1","London N. Kensington","Urban Background",6.79533333333333
-1.533119,52.28881,1,2020-02-01,17,"LEAM","Leamington Spa","Urban Background",6.88683333333333
-7.900328,54.43951,1,2020-02-01,18,"LN","Lough Navar","Rural Background",4.15683333333333
1.302686,52.614823,1,2020-02-01,19,"NO12","Norwich Lakenfields","Urban Background",5.85208333333333
-1.146447,52.95473,1,2020-02-01,20,"NOTT","Nottingham Centre","Urban Background",8.6125
-1.260278,51.744806,1,2020-02-01,21,"OX8","Oxford St Ebbes","Urban Background",8.47870833333333
-2.680353,53.76559,1,2020-02-01,22,"PRES","Preston","Urban Background",10.3774166666667
0.634889,51.45617,1,2020-02-01,23,"ROCH","Rochester Stoke","Rural Background",5.72229166666667
0.678331,51.544166,1,2020-02-01,24,"SEND","Southend-on-Sea","Urban Background",6.274625
-1.478096,53.378622,1,2020-02-01,25,"SHDG","Sheffield Devonshire Green","Urban Background",6.341375
-1.395757,50.908173,1,2020-02-01,26,"SOUT","Southampton Centre","Urban Background",8.888625
